business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,violation_id,violation_description,risk_category
"4864","DRAGON CITY BAKERY & CAFE","2367 MISSION St","94110","37.759174","-122.419066","(37.759174, -122.419066)","14155829718","4864_20160602","6/2/16","86","4864_20160602_103120","Moderate risk food holding temperature","Moderate Risk"
"3838","CAFE PICARO","3120 16th St","94103","37.764908","-122.422442","(37.764908, -122.422442)","14155434089","3838_20160805","8/5/16","72","3838_20160805_103125","Noncompliance with shell fish tags or display","Moderate Risk"
"6348","Castro Street Chevron","2399 Market St","94114","37.762857","-122.434755","(37.762857, -122.434755)","14155622570","6348_20180828","8/28/18","100","","",""
"4478","AFC Sushi @ Safeway #1490","2300 16th St","94103","37.765708","-122.409002","(37.765708, -122.409002)","14155571120","4478_20171206","12/6/17","100","","",""
"64380","Michael Mina Restaurant","252 California St","94111","37.793338","-122.399583","(37.793338, -122.399583)","14155350791","64380_20170706","7/6/17","88","64380_20170706_103127","Noncompliance with HAACP plan or variance","Moderate Risk"
"4787","TONY BALONEY'S","1098 HOWARD St","94103","37.778033","-122.40943","(37.778033, -122.40943)","14155861514","4787_20160628","6/28/16","83","4787_20160628_103131","Moderate risk vermin infestation","Moderate Risk"
"33700","Casa Guadalupe #3","2999 MISSION","94110","37.749194","-122.418116","(37.749194, -122.418116)","14155875145","33700_20180614","6/14/18","87","33700_20180614_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk"
"1596","BURGERMEISTER","86 Carl St","94117","37.765848","-122.449664","(37.765848, -122.449664)","14155564433","1596_20171201","12/1/17","96","1596_20171201_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"59838","OTD","2232 Bush St","94115","37.786988","-122.434074","(37.786988, -122.434074)","14155929578","59838_20180723","7/23/18","80","59838_20180723_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"69769","Whole Foods Market","1150 Ocean Ave","94112","37.723652","-122.45461","(37.723652, -122.45461)","14155337400","69769_20180725","7/25/18","90","69769_20180725_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"27377","Sorabol","845 Market St FC-3","94103","37.784848","-122.406892","(37.784848, -122.406892)","14155775959","27377_20160826","8/26/16","87","27377_20160826_103157","Food safety certificate or food handler card not available","Low Risk"
"32586","Terroir","81 Langton St","94103","37.776494","-122.408562","(37.776494, -122.408562)","14155718949","32586_20160906","9/6/16","96","32586_20160906_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"70685","5 Degree Tea House","2527 SAN BRUNO Ave","94134","37.729753","-122.40447","(37.729753, -122.40447)","14155828233","70685_20160726","7/26/16","92","70685_20160726_103177","Non service animal","Low Risk"
"4907","JIM GEORGIE'S DONUT","2799 16th St","94103","37.765262","-122.41523","(37.765262, -122.41523)","14155867112","4907_20180710","7/10/18","82","4907_20180710_103138","Improper storage use or identification of toxic substances","Low Risk"
"69282","New Jumbo Seafood Restaurant","1532 NORIEGA St","94122","37.754132","-122.480058","(37.754132, -122.480058)","14155681800","69282_20180417","4/17/18","64","69282_20180417_103157","Food safety certificate or food handler card not available","Low Risk"
"3253","S F GOLF CLUB","1310 Junipero Serra Blvd","94132","37.711329","-122.471316","(37.711329, -122.471316)","14155464100","3253_20170413","4/13/17","92","3253_20170413_103157","Food safety certificate or food handler card not available","Low Risk"
"18826","Fresca Restaurant","2114 FILLMORE St","94115","37.789074","-122.433783","(37.789074, -122.433783)","14155442668","18826_20160926","9/26/16","83","18826_20160926_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk"
"2134","CHIEFTAIN IRISH PUB, THE","198 05th St","94103","37.781567","-122.405059","(37.781567, -122.405059)","14155610916","2134_20160420","4/20/16","90","2134_20160420_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk"
"5829","LAFAYETTE ELEMENTARY SCHOOL","4545 ANZA St","94121","37.777603","-122.49649","(37.777603, -122.49649)","14155758483","5829_20170501","5/1/17","100","","",""
"60544","Manzoni","2790 Diamond St","94131","37.73473","-122.433823","(37.73473, -122.433823)","14155332251","60544_20160929","9/29/16","92","60544_20160929_103157","Food safety certificate or food handler card not available","Low Risk"
"62578","New Chef Hung's Restaurant","823 Clay St","94108","37.794193","-122.406677","(37.794193, -122.406677)","14155396883","62578_20171207","12/7/17","66","62578_20171207_103145","Improper storage of equipment utensils or linens","Low Risk"
